id,name,slugged_name,status,brand,category_id,category_name,retail_price,old_price,discount_start_date,discount_end_date,installment_enabled,max_installment_months,seller_ext_id,seller_name,seller_rating,seller_vat_payer,seller_role,rating_value,rating_count,assessment_id,image_big,image_medium,image_small,avail_check,preorder_available,min_qty,qty,show_stock_qty_threshold,offer_uuid,product_labels,offer_labels
1233731,"Kitab Qanun Nəşriyyatı Seçmə şeirlər, müəllif Cabir Novruz",kitab-qanun-neshriyyati-sechme-sheirler-muellif-cabir-novruz,active,No Brand,1472,Azərbaycan ədəbiyyatı,10.4,11.9,,,True,18,bb2fdf5f-d8d8-4ee8-b4e1-79fca366fbe1,Parabuzen shop,97,False,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/61c2a67a-86fe-4690-99b7-4c59d653f774.jpeg,https://strgimgr.umico.az/img/product/840/61c2a67a-86fe-4690-99b7-4c59d653f774.jpeg,https://strgimgr.umico.az/img/product/280/61c2a67a-86fe-4690-99b7-4c59d653f774.jpeg,False,False,1,0,0,e61bb0f9-14d5-4c98-aa09-d584ef2fb29b,,
1126220,"Kitab Dəlinin gündəliyi, müəllif Nikolay Qoqol",kitab-klassik-edebiyyat-delinin-gundeliyi-muellif-nikolay-qoqol-9789952381870,active,Qanun Nəşriyyatı,1449,Klassik ədəbiyyat,3.99,0,,,False,0,617fa0fc-4f23-43c6-8c97-73292c6ce306,OFFICEMART,93,True,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/404c93e9-e5ce-455f-923a-097d31965e52.jpeg,https://strgimgr.umico.az/img/product/840/404c93e9-e5ce-455f-923a-097d31965e52.jpeg,https://strgimgr.umico.az/img/product/280/404c93e9-e5ce-455f-923a-097d31965e52.jpeg,False,False,1,0,0,57662c4f-f603-447c-8825-7f9a9c8d5707,,
68554,Detektiv Çingiz Abdullayev Qırılmış əlaqə,detektiv-chingiz-abdullayev-qirilmish-elaqe,active,3 Alma,1446,Detektivlər və trillerlər,9.42,9.99,,,True,18,bb2fdf5f-d8d8-4ee8-b4e1-79fca366fbe1,Parabuzen shop,97,False,3P,0,0,0,https://strgimgr.umico.az/sized/1680/68554-b115ebcb319fe11c5ff52e91e25a3c47.jpg,https://strgimgr.umico.az/sized/840/68554-b115ebcb319fe11c5ff52e91e25a3c47.jpg,https://strgimgr.umico.az/sized/280/68554-b115ebcb319fe11c5ff52e91e25a3c47.jpg,False,False,1,0,0,4bf7fc5d-f15d-4bd9-88d4-e7ae9a91c89b,,
82375,"Kitab Bumeranq zərbəsi 1-ci kitab, müəllif Çingiz Abdullayev",kitab-bumeranq-zerbesi-1-ci-kitab-muellif-chingiz-abdullayev,active,Teas Press,1446,Detektivlər və trillerlər,8.5,0,,,False,0,617fa0fc-4f23-43c6-8c97-73292c6ce306,OFFICEMART,93,True,3P,0,0,0,https://strgimgr.umico.az/sized/1680/82375-ea654ed89912fb082075353f1bb70c29.jpg,https://strgimgr.umico.az/sized/840/82375-ea654ed89912fb082075353f1bb70c29.jpg,https://strgimgr.umico.az/sized/280/82375-ea654ed89912fb082075353f1bb70c29.jpg,False,False,1,0,0,a294a6dd-a58f-4dcf-89c7-88dbb6b3a60f,,
1353600,"Kitab Lari Kinq. İstənilən Şəxslə, İstənilən Vaxt, İstənilən Yerdə Necə Danışmaq",lari-kinq-istenilen-shexsle-istenilen-vaxt-istenilen-yerde-nece-danishmaq,active,Qanun Nəşriyyatı,1560,Şəxsi inkişaf və psixologiya,7.5,8,,,True,3,bb2fdf5f-d8d8-4ee8-b4e1-79fca366fbe1,Parabuzen shop,97,False,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/dbd84f3a-477c-44b8-ab0f-338b34073a94.jpeg,https://strgimgr.umico.az/img/product/840/dbd84f3a-477c-44b8-ab0f-338b34073a94.jpeg,https://strgimgr.umico.az/img/product/280/dbd84f3a-477c-44b8-ab0f-338b34073a94.jpeg,False,False,1,0,0,90206601-6d0e-4bab-ab6a-bef58b0075a3,,
76371,"Kitab Bir şey, müəllif Qari Keller, Cey Papazan",kitab-bir-shey-muellif-qari-keller-cey-papazan,active,Teas Press,1560,Şəxsi inkişaf və psixologiya,9.3,9.9,,,True,18,bb2fdf5f-d8d8-4ee8-b4e1-79fca366fbe1,Parabuzen shop,97,False,3P,0,0,0,https://strgimgr.umico.az/sized/1680/76371-a704afcebd4c6b34414ff678409f8e7e.jpg,https://strgimgr.umico.az/sized/840/76371-a704afcebd4c6b34414ff678409f8e7e.jpg,https://strgimgr.umico.az/sized/280/76371-a704afcebd4c6b34414ff678409f8e7e.jpg,False,False,1,0,0,06e0d8a3-f0a4-48b4-86ed-1ab11c424681,,
1489472,"Biologiya üzrə testlər toplusu, 2025, GEC, 1-ci hissə",sbornik-testov-po-biologii-2025-god-gets-1-chast,active,No Brand,1575,Məktəb dərslikləri və dərs vəsaiti,10,0,,,True,6,070d487b-f0f8-44ad-a813-244bff69d529,ELM GALAXY Kitab,97,False,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/b7093041-6571-4b38-8d79-c70628a699de.jpeg,https://strgimgr.umico.az/img/product/840/b7093041-6571-4b38-8d79-c70628a699de.jpeg,https://strgimgr.umico.az/img/product/280/b7093041-6571-4b38-8d79-c70628a699de.jpeg,False,False,1,0,0,47575460-178e-4951-a137-d29abbee488d,,
1229723,"Kitab İmam Cəfər Sadiq (ə.s) İncilər, hikmətli sözlər və dini-nəsihətlər toplusu - Həlime_2324110",kitab-imam-cefer-sadiq-e-s-inciler-hikmetli-sozler-ve-dini-nesihetler-toplusu-helime_2324110,active,AVE PRINT,1577,Din və fəlsəfə,4,0,,,True,18,7459f6b1-0869-434b-ba8f-69bd2d226722,Hekime,99,False,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/aa73f328-324f-457c-8045-7de38777f9a3.jpeg,https://strgimgr.umico.az/img/product/840/aa73f328-324f-457c-8045-7de38777f9a3.jpeg,https://strgimgr.umico.az/img/product/280/aa73f328-324f-457c-8045-7de38777f9a3.jpeg,False,False,1,0,0,051e6ec7-f742-43c2-8336-6efe4cb27f8f,,
1206834,"Kitab AVE Print Əyyaşinin Təfsiri, müəllif Əbu Nəsr Məhəmməd ibn Məsud ibn Əyyaş əs-Sələmi əs-Səmərqəndi",kitab-tefsirul-eyyashi-muellif-mehemmed-ibn-mesud-eyyashi-helime_193014,active,AVE Print,1577,Din və fəlsəfə,22,0,,,True,18,7459f6b1-0869-434b-ba8f-69bd2d226722,Hekime,99,False,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/d6c718ac-8d06-46fc-ba76-9e99c73faedf.jpeg,https://strgimgr.umico.az/img/product/840/d6c718ac-8d06-46fc-ba76-9e99c73faedf.jpeg,https://strgimgr.umico.az/img/product/280/d6c718ac-8d06-46fc-ba76-9e99c73faedf.jpeg,False,False,1,0,0,7465ae67-ff14-48b6-a67b-1cdd63f9cbf4,,
215784,"Kitab ""Синий трактор, Лево-право""",kitab-siniy-traktor-levo-pravo,active,Проф-Пресс,1441,Təhsil və inkişaf ədəbiyyatı,8,0,,,True,18,09dcf0a6-269f-4bfa-bc01-a38aadb63940,Skazka Baku,98,False,3P,0,0,0,https://strgimgr.umico.az/sized/1680/215784-feecfa6c7a73b969649de6a3de0a3b01.jpg,https://strgimgr.umico.az/sized/840/215784-feecfa6c7a73b969649de6a3de0a3b01.jpg,https://strgimgr.umico.az/sized/280/215784-feecfa6c7a73b969649de6a3de0a3b01.jpg,False,False,1,0,0,a40034a8-f229-4fab-971a-1b140443ac2c,,
1373472,"Kitab Heidi A1, müəllif Johanna Spyri",heidi-a1,active,No Brand,1469,Dil öyrənməsi,2,0,,,True,3,160de7b7-0d24-424c-9dbb-b5698029b4ef,Kitabevim.az,97,False,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/0932c3d8-d961-4b60-b3cf-1cd2b9ce07bc.jpeg,https://strgimgr.umico.az/img/product/840/0932c3d8-d961-4b60-b3cf-1cd2b9ce07bc.jpeg,https://strgimgr.umico.az/img/product/280/0932c3d8-d961-4b60-b3cf-1cd2b9ce07bc.jpeg,False,False,1,0,0,3fea91af-2d9e-434a-9c8d-06051ad2080b,,
1471065,Kitab ReadEng English 8-9,english-8-9-visait,active,No Brand,1469,Dil öyrənməsi,14,0,,,True,18,160de7b7-0d24-424c-9dbb-b5698029b4ef,Kitabevim.az,97,False,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/5c7df443-a6e5-46a0-96c3-7277ca5b6839.jpeg,https://strgimgr.umico.az/img/product/840/5c7df443-a6e5-46a0-96c3-7277ca5b6839.jpeg,https://strgimgr.umico.az/img/product/280/5c7df443-a6e5-46a0-96c3-7277ca5b6839.jpeg,False,False,1,0,0,8dc7ae4f-437b-4b76-9cfa-ffbb4dce128a,,
